Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing
"SAMSUNG 8.5 kg 5 star Semi Automatic Top Load White, Grey", https://www.flipkart.com/samsung-8-5-kg-5-star-semi-automatic-top-load-white-grey/p/itm47ebcbfab82bf?pid=WMNFNER9RSEMNQBM,SAMSUNG,12690,15990,20,14714,1575,Semi Automatic Top Load
"IFB 7 kg Fully Automatic Front Load with In-built Heater Black, White", https://www.flipkart.com/ifb-7-kg-fully-automatic-front-load-in-built-heater-black-white/p/itm83b58c71b74e2?pid=WMNFVH9HWNQZ3FZN,IFB,27490,32490,15,14513,1700,Fully Automatic Front Load
"Whirlpool 6 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey", https://www.flipkart.com/whirlpool-6-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itmb6b736202c98b?pid=WMNFZC36AEHYZCEZ,Whirlpool,8490,10400,18,33502,3643,Semi Automatic Top Load
"Haier 6.2 kg with Ariel Wash Feature Fully Automatic Top Load Brown, Grey", https://www.flipkart.com/haier-6-2-kg-ariel-wash-feature-fully-automatic-top-load-brown-grey/p/itmfg2h7psh2whjn?pid=WMNFG2H7HWJCUKAR,Haier,12190,17900,31,5012,548,Fully Automatic Top Load
"Thomson 6.5 kg 5 Star, Germ Purifier Technology Fully Automatic Top Load Black, Grey", https://www.flipkart.com/thomson-6-5-kg-5-star-germ-purifier-technology-fully-automatic-top-load-black-grey/p/itm48654e7ad49c9?pid=WMNFUQZV3YZVUWHQ,Thomson,11490,18990,39,944,361,Fully Automatic Top Load
Whirlpool 6.5 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-6-5-kg-fully-automatic-top-load-grey/p/itm8e0af714c7be1?pid=WMNFYGG3YKMNG5UH,Whirlpool,13990,17800,21,767,65,Fully Automatic Top Load
"SAMSUNG 6 kg 5 star Semi Automatic Top Load White, Grey, Purple", https://www.flipkart.com/samsung-6-kg-5-star-semi-automatic-top-load-white-grey-purple/p/itmc4c87248a9a26?pid=WMNFUGBCYDGMKE74,SAMSUNG,8240,9900,16,14714,1575,Semi Automatic Top Load
"Iffalcon 8 kg Energy Efficient, Auto Error Diagnosis Fully Automatic Front Load with In-built Heater W...", https://www.flipkart.com/iffalcon-8-kg-energy-efficient-auto-error-diagnosis-fully-automatic-front-load-in-built-heater-white/p/itm3d0202a38fce3?pid=WMNFV7VVCZTAKFAN,Iffalcon,19990,36990,45,144,53,Fully Automatic Front Load
IFB 6.5 kg 5 Star Fully Automatic Top Load White, https://www.flipkart.com/ifb-6-5-kg-5-star-fully-automatic-top-load-white/p/itm013b0ee61f7a7?pid=WMNFNWJ8SRWH7PKN,IFB,16590,17990,7,11097,1104,Fully Automatic Top Load
SAMSUNG 7 kg 5 Star Inverter Fully Automatic Top Load Silver, https://www.flipkart.com/samsung-7-kg-5-star-inverter-fully-automatic-top-load-silver/p/itm92797f5e0d965?pid=WMNFPVW7HZNRR2EF,SAMSUNG,18490,24700,25,1265,145,Fully Automatic Top Load
