Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Red, White", https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-red-white/p/itm69c347901041c?pid=WMNFZZC7S63HN79E,Whirlpool,"9,790","11,300",13,"33,340","3,628",Semi Automatic Top Load
MarQ By Flipkart 7 kg 5 star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/marq-flipkart-7-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itm30d38c77f29d2?pid=WMNFN284ZRKFETE9,MarQ,"23,490","33,999",30,"4,328",622,Fully Automatic Front Load
Whirlpool 6.5 kg Fully Automatic Top Load with In-built Heater Grey, https://www.flipkart.com/whirlpool-6-5-kg-fully-automatic-top-load-in-built-heater-grey/p/itm92cef89c85f1a?pid=WMNFSZGE95ZJJDVX,Whirlpool,"16,990","20,650",17,"1,182",135,Fully Automatic Top Load
IFB 7 kg Fully Automatic Top Load Grey, https://www.flipkart.com/ifb-7-kg-fully-automatic-top-load-grey/p/itm1265216b54f77?pid=WMNFVFQFASF7G6GR,IFB,"21,606","23,990",9,"21,852","2,828",Fully Automatic Top Load
"Whirlpool 9 kg 5 Star, Hard Water wash Semi Automatic Top Load Grey", https://www.flipkart.com/whirlpool-9-kg-5-star-hard-water-wash-semi-automatic-top-load-grey/p/itm8b5334cf76bc2?pid=WMNFZZC7YHYMQJEQ,Whirlpool,"15,240","17,200",11,"7,291",883,Semi Automatic Top Load
Godrej 7.5 kg Fully Automatic Top Load Grey, https://www.flipkart.com/godrej-7-5-kg-fully-automatic-top-load-grey/p/itm138afc3291f4d?pid=WMNFU2TCXSGMANJH,Godrej,"16,290","20,200",19,774,82,Fully Automatic Top Load
BOSCH 7 kg INVERTER TOUCH CONTROL Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/bosch-7-kg-inverter-touch-control-fully-automatic-front-load-in-built-heater-white/p/itm104e47fe7102f?pid=WMNFZBM8ADTHAFC6,BOSCH,"31,990","38,799",17,"7,013",807,Fully Automatic Front Load
Motorola 10.5/6 kg Smart Wi-Fi Enabled Inverter Technology Washer with Dryer with In-built Heater Grey, https://www.flipkart.com/motorola-10-5-6-kg-smart-wi-fi-enabled-inverter-technology-washer-dryer-in-built-heater-grey/p/itm85d71cc98e9f5?pid=WMNFSMEAZUFWXVY7,Motorola,"39,990","71,999",44,236,59,Washer with Dryer | 2000 W
LG 7 kg 5 star Fully Automatic Top Load Silver, https://www.flipkart.com/lg-7-kg-5-star-fully-automatic-top-load-silver/p/itm4b6f044047234?pid=WMNFUBJFUZHQGFPZ,LG,"18,990","20,990",9,847,67,Fully Automatic Top Load
MarQ By Flipkart 6 kg Fully Automatic Top Load Grey, https://www.flipkart.com/marq-flipkart-6-kg-fully-automatic-top-load-grey/p/itm52df034fc2d0a?pid=WMNFMKM3S6QZWAHS,MarQ,"10,990","14,999",26,"16,878","2,337",Fully Automatic Top Load
